DomainValueId;Description
916;Revestimentos de areia
917;Revestimentos silte
918;Faces brilhantes (como no horizonte nítico)
919;Faces de pressão
920;Slickensides, predominantemente intersectando-se
921;Slickensides, intersectando-se parcialmente
922;Slickensides, sem intersectação
923;Contínuo
924;Irregular contínuo (não-uniforme, heterogêneo)
925;Irregular descontínuo
926;Dendróide
927;Circular descontínuo
928;Outro
929;Faces pédicas
930;Faces pédicas verticais
931;Faces pédicas horizontais
932;Fragmentos grosseiros
933;Lamelas (bandas de argila)
934;Poros
935;Pontes entre grãos de areia
936;Sem local específico
937;Quebrada
938;Contínua
1001;Bruno
939;Laminar
940;Vesicular
942;Nodular
943;Carbonatos
944;Sílica
945;Carbonatos-sílica
946;Ferro
947;Ferro-manganês (sesquióxidos)
948;Ferro-matéria orgânica
949;Gelo
950;Gesso
951;Argila
952;Argila-sesquióxidos
953;Mecânica
954;Aração
955;Desconhecida
956;Não-cimentado e não-compactado
957;Compactado, mas não-cimentado
958;Fracamente cimentado
959;Moderadamente cimentado
960;Cimentado
961;Endurecido
962;Cristal
963;Concreção
964;Concretização macia
965;Segregação macia (ou acumulação macia)
966;Nódulo
967;Preenchimento dos poros
968;Preenchimentos de rachaduras
969;Fragmento residual de rocha
970;Outro
971;Muito pequena (< 2 mm)
972;Pequena (2-6 mm)
973;Média (6-20 mm)
974;Grande (> 20 mm)
975;Arredondada (esférica)
976;Alongada
977;Plana
978;Irregular
979;Angular
980;Dura
981;Macia
982;Ambas dura e macia
983;Carbonatos (calcária)
984;Carbonatos-sílica
985;Argila (argilosa)
986;Argila-sesquióxidos
987;Gesso (gipsífera)
988;Sal (salina)
989;Gibbsita
990;Jarosita
991;Enxofre (sulfurosa)
992;Sílica (silicosa)
993;Ferro (ferruginosa)
994;Ferro-manganês (sesquióxidos)
995;Manganês (manganesífera)
996;Desconhecida
997;Branco
998;Vermelho
999;Avermelhado
1002;Bruno-amarelado
1003;Amarelo
1004;Amarelo-avermelhado
1005;Esverdeado, verde
1006;Cinza
1007;Acinzentado
1008;Azul
1009;Preto-azulado
1010;Preto
