DomainId;Name
140;"Domínio de valores para modo de acumulação ou deposição (definido em ""Pedon coding system for the national cooperative soil survey"", Washington DC: US Department of Agriculture, 1979."
141;"Domínio de valores para textura do material parental (definido em ""Guidelines for the description and coding of soil data. ISRIC Technical paper 14"", Wageningen: ISRIC - World Soil Information, 1987."
142;"Domínio de valores para status de intemperismo (definido em ""Guidelines for the description and coding of soil data. ISRIC Technical paper 14"", Wageningen: ISRIC - World Soil Information, 1987."
143;"Domínio de valores para resistência ao intemperismo (definido em ""Guidelines for the description and coding of soil data. ISRIC Technical paper 14"", Wageningen: ISRIC - World Soil Information, 1987."
144;"Domínio de valores para orientação da vertente (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
145;"Domínio de valores para forma da vertente (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
146;"Domínio de valores para posição (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
148;"Domínio de valores para escoamento superficial (definido em ""Guidelines for the description and coding of soil data. ISRIC Technical paper 14"", Wageningen: ISRIC - World Soil Information, 1987."
149;"Domínio de valores para natureza da água de inundação (definido em ""Guidelines for the description and coding of soil data. ISRIC Technical paper 14"", Wageningen: ISRIC - World Soil Information, 1987."
150;"Domínio de valores para tipo de erosão/deposição (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen: ISRIC - World Soil Information, 1995."
151;"Domínio de valores para grau de erosão (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
152;"Domínio de valores para cobertura da superfície com afloramentos rochosos (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
153;"Domínio de valores para cobertura da superfície com fragmentos grosseiros (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
154;"Domínio de valores para forma dos fragmentos de rocha (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
155;"Domínio de valores para códigos de cores de Munsell, para mosqueados do solo, etc. (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
156;"Domínio de valores para tamanho de mosqueados (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
158;"Domínio de valores para classe de tamanho dos tipos de estrutura do solo (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
159;"Domínio de valores para quantidade de poros (definido em ""Guidelines for the description and coding of soil data. ISRIC Technical paper 14"", Wageningen: ISRIC - World Soil Information, 1987."
160;"Domínio de valores para diâmentro dos vazios (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
161;"Domínio de valores para continuidade dos poros (definido em ""The Canadian Soil Information System (CanSIS) - Manual for describing soils in the field (1982 revised)"", Ottawa: Land Resource Research Institute, 1982."
162;"Domínio de valores para classificação dos vazios (poros) (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
163;"Domínio de valores para abundância de raízes (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
164;"Domínio de valores para tamanho das raízes (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
